"Type","Name","Str","Dex","Int","Hits","Stam","Mana","Physical Resist","Fire Resist","Cold Resist","Poison Resist","Energy Resist","Physical Damage","Fire Damage","Cold Damage","Poison Damage","Energy Damage","Taming Difficulty","Barding Difficulty","TMap Level","Wrestling Skill"
"ElfBrigand","Besran","95","89","64","95","89","64","15","13","0","13","14","100","0","0","0","0","0","64.1","-1","28.7"
"EliteNinja","an elite ninja","194","91","165","334","91","165","64","56","50","64","50","65","15","0","15","5","0","103.5","-1","102.8"
"EnragedColossus","Rising Colossus","600","70","80","600","70","80","58","29","54","56","28","100","0","0","0","0","0","94.9","-1","125.5"
"EnragedEarthElemental","Enraged Earth Elemental","149","81","94","665","81","94","55","27","23","54","29","100","0","0","0","0","0","98.6","1","120"
"EnslavedGargoyle","an enslaved gargoyle","351","88","91","562","88","91","38","66","17","25","29","100","0","0","0","0","0","87.7","1","62.6"
"EnslavedGoblinKeeper","Enslaved Goblin Keeper","297","80","118","471","160","236","47","37","29","11","19","100","0","0","0","0","0","93.2","1","99.9"
"EnslavedGoblinMage","Enslaved Goblin Mage","297","94","510","471","188","1020","22","36","39","43","14","100","0","0","0","0","0","116.2","1","104.4"
"EnslavedGoblinScout","Enslaved Goblin Scout","320","74","112","502","148","224","42","33","30","14","18","100","0","0","0","0","0","94.9","1","111.8"
"EnslavedGrayGoblin","Enslaved Gray Goblin","321","64","147","500","128","294","50","38","32","12","11","100","0","0","0","0","0","95.5","1","99.2"
"EnslavedGreenGoblin","Enslaved Green Goblin","326","71","126","510","142","252","40","39","31","12","10","100","0","0","0","0","0","95.1","1","99.2"
"EnslavedGreenGoblinAlchemist","Green Goblin Alchemist","289","72","113","485","144","226","45","53","30","40","15","100","0","0","0","0","0","92.1","1","90.4"
"EnslavedSatyr","an enslaved satyr","192","265","161","560","265","161","55","25","31","38","30","100","0","0","0","0","0","106.5","-1","95.3"
"Eowmu","Eowmu","400","125","50","240","125","50","41","40","31","35","39","100","0","0","0","0","30","71","-1","34.7"
"EtherealWarrior","Lanculis","681","238","352","1142","238","352","90","48","44","46","44","100","0","0","0","0","0","137.3","5","97.8"
"Ettin","an ettin","148","57","43","241","57","43","38","22","49","20","16","100","0","0","0","0","0","70.6","1","54.6"
"EvilMage","Phalil the Unexpected","90","105","118","147","105","118","17","5","0","6","9","100","0","0","0","0","0","77.4","1","45.3"
"EvilMageLord","Xarot the Black Archmage","92","214","132","153","214","132","40","36","38","37","38","100","0","0","0","0","0","83.5","2","71.1"
"Executioner","Tori","393","159","172","393","159","172","42","27","26","10","18","100","0","0","0","0","0","98.4","-1","0"
"ExodusMinion","exodus minion","926","72","78","1493","72","78","62","43","22","19","20","100","0","0","0","0","0","131","-1","99.2"
"ExodusOverseer","exodus overseer","566","82","75","926","82","75","51","50","35","28","27","50","0","0","0","50","0","106.3","-1","91.7"
"FairyDragon","Fairy Dragon","534","101","473","934","101","473","22","42","45","40","46","100","22","24","21","23","0","120.6","3","92.1"
"FanDancer","a fan dancer","332","252","24","736","252","24","58","60","69","55","42","70","10","10","10","0","0","102.7","3","85.3"
"FeralTreefellow","a feral treefellow","1356","417","688","2654","417","688","64","0","76","68","45","100","0","0","0","0","0","160","-1","68.4"
"Ferret","a ferret","44","55","75","89","55","75","50","10","37","25","25","100","0","0","0","0","-21.3","30.84","-1","4"
"FetidEssence","a fetid essence","135","211","499","758","211","499","50","41","41","79","78","30","0","0","70","0","0","128","-1","83.9"
"FireAnt","a fire ant","225","108","25","299","108","25","52","96","36","40","36","40","60","0","0","0","0","73.8","3","75.4"
"FireBeetle","a fire beetle","300","100","500","200","100","500","40","71","10","30","30","0","100","0","0","0","93.9","85.6","-1","100"
"FireDaemon","a fire daemon","504","137","348","1546","137","348","53","100","-1","21","40","20","80","0","0","0","0","157.9","4","46.1"
"FireElemental","a fire elemental","132","174","106","218","174","106","35","61","8","32","32","25","75","0","0","0","0","81.6","2","74.6"
"FireGargoyle","a fiery gargoyle","364","145","240","603","145","240","35","51","0","25","29","20","80","0","0","0","0","112.5","1","72"
"FireRabbit","a fire rabbit","130","4500","2500","2500","6000","4000","45","100","40","46","46","0","100","0","0","0","0","160","-1","80"
"FireSteed","a fire steed","400","104","295","631","104","295","33","71","22","36","40","20","80","0","0","0","106","100.8","-1","100"
"FleshGolem","a flesh golem","182","52","49","300","52","49","57","31","25","67","40","100","0","0","0","0","0","73","1","65.4"
"FleshRenderer","a fleshrenderer","402","207","247","4500","207","247","86","53","52","100","70","80","0","0","20","0","0","160","1","90.1"
"ForestOstard","a forest ostard","157","72","7","235","72","7","15","0","0","0","0","100","0","0","0","0","29.1","58.6","-1","39.2"
"ForgottenServant","Frederick","192","93","72","304","93","72","25","36","34","47","41","100","0","0","0","0","0","78.9","-1","81.5"
"FrenziedOstard","a frenzied ostard","140","99","6","212","99","6","26","10","0","24","23","100","0","0","0","0","77.1","70.5","-1","93.9"
"FrostDragon","a frost dragon","1377","118","632","3618","118","632","88","60","93","66","72","50","0","50","0","0","105","160","4","127.7"
"FrostDrake","a cold drake","645","148","189","1106","148","189","55","37","79","43","45","50","0","50","0","0","96","123.6","3","117.4"
"FrostMite","Frost Mite","1017","164","283","1889","164","283","62","18","92","59","45","0","0","100","0","0","102","157.2","-1","86.6"
"FrostOoze","a frost ooze","25","20","18","41","20","18","15","0","48","23","19","100","0","0","0","0","0","18.26","-1","33.3"
"FrostSpider","a frost spider","77","143","43","125","143","43","26","5","40","29","15","20","0","80","0","0","74.7","60.7","-1","63"
"FrostTroll","a frost troll","253","85","49","402","85","49","47","0","48","10","10","75","0","25","0","0","0","80","1","98.6"
"Gaman","a gaman","164","132","48","323","132","48","67","47","44","54","39","100","0","0","0","0","68.7","76.4","-1","51.3"
"GargishOutcast","Zu'Teika","150","150","150","1232","150","631","14","53","63","46","51","100","0","0","0","0","0","150.4","-1","0"
"GargishRouser","Au'Rek","150","150","150","1411","150","933","15","50","57","52","52","100","0","0","0","0","0","160","-1","90"
"Gargoyle","a gargoyle","165","88","101","258","88","101","30","27","9","21","0","100","0","0","0","0","0","81.6","1","60.4"
"GargoyleDestroyer","Gargoyle Destroyer","844","137","153","1327","137","153","54","64","21","20","17","100","0","0","0","0","0","147.5","-1","99.1"
"GargoyleEnforcer","Gargoyle Enforcer","845","115","167","1327","115","167","51","56","20","26","23","100","0","0","0","0","0","140","-1","82.6"
"GargoyleGuardian","Abyss Guardian","769","129","160","1251","129","160","40","65","24","20","20","100","0","0","0","0","0","145.2","-1","99.4"
"GargoyleShade","a gargoyle shade","77","81","45","137","161","120","41","44","14","28","0","100","0","0","0","0","0","79.4","-1","52.5"
"Gazer","a gazer","104","104","145","174","104","145","36","46","20","17","27","100","0","0","0","0","0","76.5","1","67.4"
"GazerLarva","a gazer larva","76","54","61","114","54","61","25","0","0","0","0","100","0","0","0","0","0","58.04","-1","70"
"Ghoul","a ghoul","82","81","52","135","81","52","29","0","23","7","17","100","0","0","0","0","0","61.9","-1","49"
"GiantBlackWidow","a giant black widow","91","101","47","146","101","47","26","15","10","55","14","100","0","0","0","0","0","76.2","-1","79.5"
"GiantIceWorm","a giant ice worm","221","86","79","354","86","79","31","0","81","23","15","10","0","90","0","0","71.1","84.5","-1","60.4"
"GiantRat","a giant rat","34","65","17","62","65","17","16","8","0","27","0","100","0","0","0","0","29.1","34.22","-1","34.8"
"GiantSerpent","a giant serpent","211","68","69","338","68","69","31","10","20","90","16","40","0","0","60","0","0","80.8","-1","63.1"
"GiantSpider","a giant spider","83","82","48","137","82","48","16","0","0","29","0","100","0","0","0","0","59.1","69.32","-1","52.7"
"GiantToad","a giant toad","99","22","11","149","22","11","20","9","0","0","6","100","0","0","0","0","77.1","47.94","-1","48.3"
"GiantTurkey","a giant turkey","1397","251","514","25000","251","1514","67","85","43","54","51","100","0","0","0","0","0","160","-1","113.3"
"Gibberling","a gibberling","155","115","80","246","115","80","49","34","32","12","33","0","40","0","0","60","0","74.2","1","73.4"
"Goat","a goat","19","15","5","12","15","5","6","0","0","0","0","100","0","0","0","0","11.1","11.72","-1","5"
"GoldenElemental","a golden elemental","238","133","81","378","133","81","75","19","38","30","38","100","0","0","0","0","0","81.8","1","70.6"
"Golem","a golem","271","87","144","460","87","144","60","100","26","18","34","100","0","0","0","0","0","90.5","-1","169.6"
"GolemController","Yyntrix","150","101","155","227","101","155","34","30","46","13","23","100","0","0","0","0","0","87.7","-1","75.3"
"GoreFiend","a gore fiend","179","50","55","284","50","55","44","29","18","8","40","85","0","0","15","0","0","72.6","-1","61.3"
"Gorilla","a gorilla","71","41","40","122","41","40","25","6","14","0","0","100","0","0","0","0","-18.9","44.82","-1","46.5"
"GrayGoblin","a gray goblin","285","67","110","463","140","242","46","38","29","12","11","100","0","0","0","0","0","92.9","1","103.7"
"GrayGoblinKeeper","a gray goblin keeper","326","79","114","186","158","228","45","33","25","20","10","100","0","0","0","0","0","81.1","1","103.6"
"GrayGoblinMage","a gray goblin mage","228","86","474","360","166","955","48","35","30","13","17","100","0","0","0","0","0","117.2","1","91.1"
"GreaterDragon","a greater dragon","1270","145","515","2336","145","515","74","86","44","43","65","100","0","0","0","0","104.7","160","5","120.6"
"GreaterMongbat","a greater mongbat","68","61","45","112","126","73","25","0","0","0","0","100","0","0","0","0","71.1","54.52","-1","23.9"
"GreaterPoisonElemental","Greater Poison Elemental","746","197","671","1437","512","1182","62","27","30","100","42","10","0","0","90","0","0","160","5","87.4"
"GreatHart","a great hart","55","55","32","96","55","32","24","0","6","0","0","100","0","0","0","0","59.1","36.96","-1","46.7"
"GreenGoblin","a green goblin","257","62","121","420","126","258","40","37","35","19","14","100","0","0","0","0","0","92.6","1","99.7"
"GreenGoblinAlchemist","a green goblin alchemist","283","72","105","458","144","224","43","46","35","45","16","100","0","0","0","0","0","90","1","103.4"
"GreenGoblinScout","a green goblin scout","283","70","117","460","144","241","46","37","27","14","13","100","0","0","0","0","0","93.6","1","111.2"
"Gregorio","Gregorio","91","82","71","91","82","71","13","14","5","18","20","100","0","0","0","0","0","53.66","-1","95.5"
"Gremlin","a gremlin","106","130","36","70","130","36","26","36","22","17","30","100","0","0","0","0","0","52.3","-1","0"
"GreyWolf","a grey wolf","72","69","36","112","69","36","16","12","21","14","13","100","0","0","0","0","53.1","48.82","-1","57.8"
"GrizzlyBear","a grizzly bear","146","102","19","230","102","19","34","0","18","7","7","100","0","0","0","0","59.1","70","-1","52.1"
"Grubber","a grubber","15","2000","1000","200","2500","1000","0","0","0","0","0","100","0","0","0","0","0","160","-1","5"
"Guardian","Alala","100","125","25","100","125","25","30","18","12","18","12","100","0","0","0","0","0","75.6","-1","0"
"Harpy","a harpy","109","109","70","176","109","70","25","16","19","27","18","100","0","0","0","0","0","69.26","-1","64"
"HeadlessOne","a headless one","27","39","30","45","39","30","17","0","0","0","0","100","0","0","0","0","0","24.4","-1","25.1"
"HellCat","a hell cat","69","124","68","120","124","68","26","85","0","0","20","40","60","0","0","0","71.1","71.1","-1","37.3"
"HellHound","a hell hound","245","191","143","526","191","143","38","37","0","18","20","20","80","0","0","0","85.5","90.9","-1","72.1"
"HellSteed","a hellsteed","209","109","105","423","109","105","65","90","0","100","0","25","75","0","0","0","0","88.3","-1","106.8"
"HighPlainsBoura","a high plains boura","426","92","28","1034","92","28","53","40","14","36","40","100","0","0","0","0","47.1","110.2","-1","110.9"
"Hind","a hind","48","64","38","66","64","38","11","0","5","0","0","100","0","0","0","0","23.1","34.16","-1","26"
"Hiryu","a hiryu","1338","243","303","2321","243","363","65","85","22","41","43","100","0","0","0","0","98.7","160","5","107.1"
"HordeMinion","a horde minion","33","31","11","46","31","11","19","8","0","0","0","100","0","0","0","0","0","19.86","-1","32"
"Horse","a horse","27","67","7","72","67","7","19","0","0","0","0","100","0","0","0","0","29.1","32.22","-1","40.8"
"HungryCoconutCrab","hungry coconut crab","19","15","5","12","15","5","13","0","0","0","0","100","0","0","0","0","0","7.22","-1","5"
"Hydra","a hydra","824","106","105","2311","106","105","65","79","26","35","43","60","10","10","10","10","0","160","5","112"
"IceElemental","an ice elemental","169","110","178","273","110","178","38","8","59","22","27","25","0","75","0","0","0","82.1","-1","77.5"
"IceFiend","an ice fiend","379","185","222","609","185","222","57","14","63","30","30","100","0","0","0","0","0","104.7","4","83.5"
"IceHound","an ice hound","109","82","57","208","82","57","26","0","50","18","16","20","0","80","0","0","85.5","64.68","-1","0"
"IceSerpent","a giant ice serpent","231","39","74","367","39","74","31","0","82","20","12","10","0","90","0","0","0","77.9","-1","62.9"
"IceSnake","an ice snake","53","41","30","53","41","30","21","0","88","63","34","25","0","25","50","0","0","29.28","-1","44.1"
"Imp","an imp","99","77","88","154","77","88","33","46","22","32","33","0","50","0","50","0","83.1","74.4","-1","40.2"
"Impaler","Steelbane","190","45","190","5000","45","190","90","60","75","60","100","100","0","0","0","0","0","160","1","108.3"
"MLDryad","a dryad","136","157","278","440","157","278","40","25","43","39","34","100","0","0","0","0","0","98.7","-1","75"
"InsaneDryad","an insane dryad","149","163","259","465","163","259","48","23","45","36","26","100","0","0","0","0","0","100.5","-1","71.9"
"InterredGrizzle","an interred grizzle","497","240","816","1500","390","816","45","24","58","21","71","30","70","0","0","0","0","160","4","107.7"
"IronBeetle","an iron beetle","840","73","48","1643","73","48","56","20","20","39","54","100","0","0","0","0","71.1","140.2","-1","99.9"
"JackRabbit","a jack rabbit","15","25","5","9","25","5","3","0","0","0","0","100","0","0","0","0","-18.9","8.54","-1","5"
"Juggernaut","a blackthorn juggernaut","338","57","85","528","57","85","65","36","44","21","14","50","25","0","0","25","0","94","5","93.3"
"JukaLord","a juka lord","470","100","189","746","100","189","50","45","41","22","43","100","0","0","0","0","0","111.4","-1","96.7"
"JukaMage","a juka mage","284","76","478","436","76","478","29","37","31","13","43","100","0","0","0","0","0","106.7","3","83"
"JukaWarrior","a juka warrior","328","64","141","479","64","141","43","37","26","16","17","100","0","0","0","0","0","96.2","-1","80.8"
"Jwilson","a jwilson","31","19","17","31","19","17","0","0","0","0","0","100","0","0","0","0","0","26.86","-1","30"
"Kappa","a kappa","195","51","42","367","51","72","38","50","38","47","30","100","0","0","0","0","0","78.4","2","68.8"
"KazeKemono","a kaze kemono","205","110","102","496","110","102","53","40","54","56","70","70","10","10","10","0","0","92.5","-1","91.8"
"Kepetch","a kepetch","344","188","34","677","188","34","75","51","42","63","70","100","0","0","0","0","0","101.2","-1","110.5"
"KepetchAmbusher","a kepetch ambusher","446","233","46","979","233","46","77","58","56","58","81","80","0","0","20","0","0","121.7","-1","113.5"
"KhaldunSummoner","Zealot of Khaldun","353","116","576","817","116","576","40","32","66","39","35","75","0","25","0","0","0","126.5","-1","94.1"
"KhaldunZealot","Zealot of Khaldun","371","164","79","831","164","79","57","43","75","36","49","75","0","25","0","0","0","111","-1","70.9"
"Kirin","a ki-rin","296","89","206","505","89","206","64","36","29","32","33","70","10","10","0","10","95.1","96.4","-1","90.3"
"Kraken","a kraken","757","236","40","1221","236","40","45","34","37","30","20","70","0","30","0","0","0","117.1","4","48.1"
"LadyOfTheSnow","a lady of the snow","282","121","492","893","121","492","46","41","74","60","69","20","0","80","0","0","0","124.1","4","94.9"
"Lasher","Lasher","400","125","50","240","125","50","48","34","35","40","40","100","0","0","0","0","0","67.7","-1","30.3"
"LavaElemental","a lava elemental","470","160","418","755","160","418","63","22","28","100","45","10","90","0","0","0","0","122.3","-1","76.5"
"LavaLizard","a lava lizard","127","73","18","204","73","18","42","44","0","35","33","100","0","0","0","0","80.7","72.5","-1","77.2"
"LavaSerpent","a lava serpent","412","80","79","657","80","79","35","76","0","37","16","20","80","0","0","0","0","93.8","-1","79.7"
"LavaSnake","a lava snake","48","24","8","79","24","8","25","39","0","29","16","100","0","0","0","0","0","34.24","-1","30.8"
"LeatherWolf","a leather wolf","111","111","30","436","111","30","44","20","36","29","25","100","0","0","0","0","0","81.3","-1","75.4"
"LeatherWolfFellow","a leather wolf","111","105","31","201","105","31","42","12","26","17","13","100","0","0","0","0","0","71","-1","77.8"
"LesserHiryu","a lesser hiryu","381","259","320","808","259","380","46","66","7","39","34","100","0","0","0","0","98.7","115.9","3","116.7"
"Leviathan","a leviathan","1000","504","508","1500","504","508","64","46","52","42","31","70","0","30","0","0","0","160","5","105.7"
"Lich","a lich","180","131","298","292","131","298","44","25","52","55","40","10","0","40","0","50","0","97.5","3","0"
"LichLord","a lich lord","446","148","655","731","148","655","40","40","59","60","41","0","0","60","0","40","0","127.2","4","74.6"
"Lifestealer","a lifestealer","212","147","208","4852","147","208","46","30","24","63","44","50","10","20","0","20","0","160","4","98.5"
"Lion","Lion","710","212","127","1076","212","127","45","42","33","30","40","100","0","0","0","0","96","117.9","-1","106.2"
"Lizardman","Tissyth","99","105","56","161","105","56","30","10","7","19","0","100","0","0","0","0","0","67.36","1","57.2"
"Llama","a llama","29","54","28","54","54","28","19","0","0","0","0","100","0","0","0","0","35.1","24.74","-1","27.9"
"LowlandBoura","a lowland boura","337","87","23","812","87","23","59","37","18","32","40","100","0","0","0","0","19.1","100.6","-1","95.9"
"MaddeningHorror","a maddening horror","285","98","850","660","98","850","61","29","54","41","51","20","0","40","0","40","0","138.1","-1","84.2"
"MantraEffervescence","a mantra effervescence","141","123","152","344","123","152","65","43","49","59","100","30","0","0","0","70","0","91.5","-1","82.5"
"MeerCaptain","a meer captain","96","194","97","160","194","97","50","16","42","40","36","100","0","0","0","0","0","82","-1","87.3"
"MeerEternal","a meer eternal","503","163","606","756","163","606","49","25","49","35","33","100","0","0","0","0","0","127.5","5","61.5"
"MeerMage","a meer mage","191","140","281","305","140","281","53","21","50","35","30","100","0","0","0","0","0","94.8","3","79.4"
"MeerWarrior","a meer warrior","87","191","93","147","191","93","39","12","35","35","30","100","0","0","0","0","0","73.3","-1","97.1"
"Mimic","a mimic","281","140","261","543","140","261","63","43","36","37","42","20","20","20","20","20","0","106","-1","92.2"
"MinionOfScelestus","a minion of scelestus","379","196","200","30000","196","200","56","50","100","100","50","20","0","20","50","10","0","160","4","116.3"
"Minotaur","a minotaur","314","101","37","630","101","37","56","34","32","36","32","100","0","0","0","0","0","89.3","3","91.9"
"MinotaurCaptain","a minotaur captain","420","101","45","850","101","45","74","44","41","44","45","100","0","0","0","0","0","100.4","3","106.7"
"MinotaurGeneral","a minotaur general","602","139","87","1632","139","87","77","61","68","66","65","40","0","20","20","20","0","138.4","4","110.1"
"MinotaurScout","a minotaur scout","356","130","46","720","130","46","60","27","32","35","31","100","0","0","0","0","0","94.5","3","99.6"
"Moloch","a moloch","344","82","65","533","82","65","68","64","42","27","29","100","0","0","0","0","0","89","-1","82.7"
"Mongbat","a mongbat","10","35","10","15","35","10","6","0","0","0","0","100","0","0","0","0","-18.9","11.6","-1","9.1"
"MoundOfMaggots","a mound of maggots","69","66","10","69","66","10","90","0","0","100","0","50","0","0","50","0","0","40.74","1","55.3"
"MountainGoat","a mountain goat","53","59","18","75","59","18","15","6","11","12","14","100","0","0","0","0","-0.9","35.3","-1","39"
"Mummy","a mummy","363","81","35","581","81","35","51","18","55","22","30","40","0","60","0","0","0","85.5","1","41"
"Nightmare","a nightmare","518","94","116","832","94","116","60","31","33","31","21","40","40","0","0","20","95.1","108.1","-1","82.4"
"Niporailem","Niporailem","1000","1200","1200","11362","1200","1200","41","0","47","100","47","20","0","40","0","40","0","160","-1","77.1"
"Ogre","an ogre","166","58","62","279","58","62","31","17","22","19","25","100","0","0","0","0","0","72.4","1","77.7"
"OgreLord","an ogre lord","775","70","68","1325","70","68","52","31","39","45","48","100","0","0","0","0","0","125.9","3","91.2"
"Oni","an oni","872","177","175","1329","177","175","68","65","40","47","49","70","10","0","0","20","0","137.5","4","99"
"OphidianArchmage","an ophidian zealot","298","201","227","481","238","227","43","30","27","40","26","100","0","0","0","0","0","100.2","2","41.1"
"OphidianKnight","an ophidian avenger","507","168","61","796","168","61","35","31","42","96","43","100","0","0","0","0","0","108.5","3","98"
"OphidianMage","an ophidian shaman","185","203","104","305","203","104","34","39","41","47","41","100","0","0","0","0","0","85.6","2","37.3"
"OphidianMatriarch","an ophidian matriarch","477","106","413","763","106","413","54","32","35","50","37","100","0","0","0","0","0","117.2","4","63.4"
"OphidianWarrior","an ophidian enforcer","224","148","134","369","148","134","39","21","26","33","33","100","0","0","0","0","0","83.3","1","0"
"Orc","Xago","113","86","45","185","86","45","26","29","13","19","24","100","0","0","0","0","0","68.4","1","58.4"
"OrcBomber","an orc bomber","172","94","62","274","94","62","26","40","15","19","26","75","25","0","0","0","0","77.7","-1","83.8"
"OrcBrute","an orc brute","773","72","59","1293","72","59","55","44","32","29","33","100","0","0","0","0","0","125.6","-1","95.4"
"OrcCaptain","Buadagh","143","131","97","227","131","97","33","12","15","10","10","100","0","0","0","0","0","74.2","-1","0"
"OrcChopper","an orc chopper","221","102","61","357","102","61","33","32","16","22","26","100","0","0","0","0","0","79.1","-1","80.7"
"OrcishLord","an orcish lord","153","100","79","269","100","79","32","34","27","32","37","100","0","0","0","0","0","76.8","1","83.5"
"OrcishMage","an orcish mage","130","114","165","205","114","165","27","31","29","38","31","100","0","0","0","0","0","78.9","1","43.9"
"OrcScout","an orc scout","118","128","52","177","128","100","31","31","25","20","28","100","0","0","0","0","0","87.7","-1","0"
"Ortanord","Ortanord","50","50","51","150","100","1052","82","85","84","86","85","100","0","0","0","100","0","101.2","-1","15.5"
"OsseinRam","Ossein Ram","333","92","115","822","92","115","56","12","46","37","47","50","0","25","0","25","72","103.9","-1","97"
"PackHorse","a pack horse","63","43","6","129","125","6","22","10","24","12","11","100","0","0","0","0","29.1","49.44","-1","29.5"
"PackLlama","a pack llama","52","39","16","50","141","16","28","12","13","13","10","100","0","0","0","0","29.1","33.9","-1","27.9"
"Palomino","a horse","61","72","6","106","72","6","17","0","0","0","0","100","0","0","0","0","29.1","36.46","-1","35.4"
"Panther","a panther","70","105","49","113","105","49","23","9","12","10","0","100","0","0","0","0","53.1","53.58","-1","60.2"
"ParoxysmusSwampDragon","Chief Paroxysmus' Swamp Dragon","266","71","79","423","71","79","68","41","38","48","46","75","0","0","25","0","93.9","81","-1","49.9"
"PatchworkSkeleton","a patchwork skeleton","110","71","35","174","71","35","65","59","79","100","47","85","0","15","0","0","0","70.6","1","69"
"PestilentBandage","a pestilent bandage","723","141","70","1167","141","70","54","15","56","25","24","40","0","20","40","0","0","119.4","-1","73.9"
"Phoenix","a phoenix","592","216","533","932","216","533","52","64","0","25","42","50","50","0","0","0","102","133.4","-1","97.1"
"Pig","a pig","20","20","5","12","20","5","15","0","0","0","0","100","0","0","0","0","11.1","7.12","-1","5"
"PitFiend","a Pit fiend","395","186","218","629","186","218","63","20","63","30","37","100","0","0","0","0","0","108.4","4","85.2"
"Pixie","Xian","21","359","203","38","359","203","82","41","40","42","48","100","0","0","0","0","0","84.2","-1","12.1"
"PlagueBeast","a plague beast","307","80","17","706","80","17","54","40","25","66","31","60","0","0","40","0","0","95.3","-1","100"
"PlagueBeastLord","a plague beast lord","500","100","30","1800","100","30","54","50","28","85","33","50","25","0","25","0","0","143.2","-1","100"
"PlagueRat","a Clan Ribbon Plague Rat","59","51","17","92","51","17","38","20","34","0","39","100","0","0","0","0","0","34.92","-1","40.5"
"PlagueSpawn","a plague spawn","226","80","16","371","80","16","36","38","32","71","26","100","0","0","0","0","0","74.1","-1","50"
"PlatinumDrake","Platinum Drake","401","143","101","652","143","101","39","48","48","43","41","100","0","0","0","0","85","93.5","2","77.9"
"PoisonElemental","a poison elemental","488","173","430","751","173","430","66","21","25","100","41","10","0","0","90","0","0","127.9","5","77.4"
"PolarBear","a polar bear","130","100","50","213","100","50","29","0","72","25","12","100","0","0","0","0","35.1","68.48","-1","54.2"
"PredatorHellCat","a predator hellcat","178","110","98","295","110","98","27","36","0","0","13","75","25","0","0","0","90","80.2","-1","60.1"
"Protector","A Protector","752","119","73","1121","119","73","39","27","37","38","36","100","0","0","0","0","0","115.2","-1","85.1"
"PutridUndeadGargoyle","a putrid undead gargoyle","525","122","1145","1187","122","1145","60","33","50","55","46","20","0","40","0","40","0","160","-1","100.5"
"PutridUndeadGuardian","an putrid undead guardian","79","63","187","553","63","187","40","23","57","29","39","100","0","0","0","0","0","88","-1","50.7"
"Quagmire","a quagmire","125","80","37","228","80","37","58","14","16","100","23","60","0","0","40","0","0","75.3","-1","67"
"Rabbit","a rabbit","6","34","13","12","34","13","9","0","0","0","0","100","0","0","0","0","-18.9","14.62","-1","5"
"RagingGrizzlyBear","a raging grizzly bear","1259","957","317","2086","957","317","67","0","43","16","13","100","0","0","0","0","0","160","-1","80.1"
"RaiJu","a Rai-Ju","165","125","177","394","125","177","51","85","32","59","65","10","10","10","10","60","0","86.1","-1","86.7"
"Raptor","a raptor","414","136","130","807","136","130","48","56","48","27","31","100","0","0","0","0","107.1","102.3","3","79.2"
"Rat","a rat","9","35","5","6","35","5","6","0","0","10","0","100","0","0","0","0","-0.9","12.86","-1","4"
"Ratman","Firecheki","112","91","37","180","91","37","27","18","18","11","17","100","0","0","0","0","0","59.5","-1","59.3"
"RatmanArcher","Kirchik","152","111","134","258","111","134","46","10","18","18","18","100","0","0","0","0","0","80","-1","73.5"
"RatmanMage","Kichak","175","109","202","281","109","202","40","15","20","10","20","100","0","0","0","0","0","86.4","2","57.9"
"Ravager","a ravager","255","101","69","418","101","69","55","54","65","30","27","100","0","0","0","0","0","82.5","4","73.2"
"Reaper","a reaper","174","70","127","248","70","127","40","24","16","49","30","80","0","0","20","0","0","84.5","2","54.9"
"RedSolenInfiltratorQueen","a red solen infiltrator","336","144","108","496","144","108","36","35","30","40","30","70","0","0","30","0","0","88.5","-1","90"
"RedSolenInfiltratorWarrior","a red solen infiltrator","217","139","86","323","139","86","25","24","18","28","17","80","0","0","20","0","0","79.6","-1","80"
"RedSolenQueen","a red solen queen","307","134","76","460","134","76","34","30","31","36","27","70","0","0","30","0","0","85.6","-1","90"
"RedSolenWarrior","a red solen warrior","206","124","41","309","124","41","33","33","15","34","14","80","0","0","20","0","0","76.6","-1","80"
"RedSolenWorker","a red solen worker","114","92","43","183","92","43","29","26","13","13","29","100","0","0","0","0","0","67.68","-1","60"
"RenegadeChangeling","a renegade changeling","183","307","534","3010","544","920","82","40","44","46","43","100","0","0","0","0","0","160","-1","121.8"
"Reptalon","a reptalon","1025","164","277","1871","164","277","53","44","39","59","71","0","0","0","25","75","101.1","158.5","5","106.2"
"RestlessSoul","restless soul","26","34","29","47","34","29","23","14","33","7","11","100","0","0","0","0","0","26.52","2","29.7"
"RevenantLion","a Revenant Lion","311","172","100","572","172","100","55","25","51","63","46","30","0","30","10","30","0","106.6","3","80.3"
"RidableLlama","a ridable llama","35","59","28","54","59","28","11","5","5","6","6","100","0","0","0","0","29.1","31.04","-1","26.6"
"Ridgeback","a ridgeback","95","65","26","137","65","26","22","9","9","7","9","100","0","0","0","0","83.1","42.82","-1","37.4"
"Ronin","a ronin","366","34","106","763","34","216","78","59","48","77","87","90","0","0","10","0","0","113.1","-1","99.4"
"RottingCorpse","a rotting corpse","308","75","172","1200","225","172","39","26","51","48","29","0","0","50","50","0","0","135.4","5","97.4"
"Rotworm","a rotworm","249","80","19","480","130","19","38","31","27","69","34","100","0","0","0","0","0","79.4","-1","50"
"RuddyBoura","a ruddy boura","458","74","18","904","153","34","59","40","16","32","31","100","0","0","0","0","19.1","105.4","-1","86.8"
"RuneBeetle","a rune beetle","423","140","384","769","140","384","65","49","50","93","43","20","0","0","10","70","93.9","124.2","-1","76.9"
"SabertoothedTiger","saber-toothed tiger","519","390","446","896","390","446","46","31","56","39","47","100","0","0","0","0","102","126.8","-1","101.2"
"SandVortex","a sand vortex","116","193","96","175","193","96","81","70","66","60","62","90","10","0","0","0","0","75","-1","80"
